REEF_ID,REEF_NAME,A_SECTOR,SHELF,LAT,LON,SITE_LAT,SITE_LON,SITE_NO,TRANSECT_NO,REPORT_YEAR,COVER,DISTURBANCE,COTS,STORM,BLEACHING,DISEASE,C,S,B,D,BENT_CLUST,CLUSTER,CONNECTEDNESS,AREA,RST,RSTY,HC,HC_1,HERB,HERB2,iZONE,sZONE,PFp,PFs,PFt,PFsum
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,2,1997,12.5,C,1,0,0,0,0.533,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_2,MACGILLIVRAY REEF_1_2_1997,12.5,19.29,43,21,1,0,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,2,1998,12.5,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_2,MACGILLIVRAY REEF_1_2_1998,12.5,12.5,34,12,1,0,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,2,1999,18.59,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_2,MACGILLIVRAY REEF_1_2_1999,18.59,12.5,37,15,1,0,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,2,2000,13.07,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_2,MACGILLIVRAY REEF_1_2_2000,13.07,18.59,48,12,1,0,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,2,2001,17,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_2,MACGILLIVRAY REEF_1_2_2001,17,13.07,37,16,1,0,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,2,2002,20.5,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_2,MACGILLIVRAY REEF_1_2_2002,20.5,17,33,15,1,0,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,2,2003,17,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_2,MACGILLIVRAY REEF_1_2_2003,17,20.5,56,29,1,0,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,2,2004,13.5,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_2,MACGILLIVRAY REEF_1_2_2004,13.5,17,31,8,1,0,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,2,2005,23.62,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_2,MACGILLIVRAY REEF_1_2_2005,23.62,13.5,57,24,1,1,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,2,2006,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_2,MACGILLIVRAY REEF_1_2_2006,-999,23.62,0,-999,1,1,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,2,2007,29.15,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_2,MACGILLIVRAY REEF_1_2_2007,29.15,-999,30,20,1,1,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,2,2008,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_2,MACGILLIVRAY REEF_1_2_2008,-999,29.15,0,-999,1,1,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,2,2009,21.5,U,0,0,0,0,0.129,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_2,MACGILLIVRAY REEF_1_2_2009,21.5,-999,44,25,1,1,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,2,2010,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_2,MACGILLIVRAY REEF_1_2_2010,-999,21.5,0,-999,1,1,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,2,2011,31,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_2,MACGILLIVRAY REEF_1_2_2011,31,-999,47,27,1,1,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,2,2012,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_2,MACGILLIVRAY REEF_1_2_2012,-999,31,0,-999,1,1,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,2,2013,26.5,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_2,MACGILLIVRAY REEF_1_2_2013,26.5,-999,66,46,1,1,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,2,2014,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_2,MACGILLIVRAY REEF_1_2_2014,-999,26.5,0,-999,1,1,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,2,2015,21,M,0,0,0,0,0.649,61.5,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_2,MACGILLIVRAY REEF_1_2_2015,21,-999,35,26,1,1,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,2,2016,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_2,MACGILLIVRAY REEF_1_2_2015,-999,21,-999,-999,1,1,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,2,2017,17.5,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_2,MACGILLIVRAY REEF_1_2_2015,17.5,-999,-999,44,1,1,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,3,1995,19.49,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_3,MACGILLIVRAY REEF_1_3_1995,19.49,-999,23,4,1,0,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,3,1996,20.67,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_3,MACGILLIVRAY REEF_1_3_1996,20.67,19.49,50,13,1,0,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,3,1997,13,C,1,0,0,0,0.533,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_3,MACGILLIVRAY REEF_1_3_1997,13,20.67,36,11,1,0,0.00454245,0.0167471,0.116079,0.13736855
